Rk,Player,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Column1,Column2,,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
43,Ladd McConkey,0,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,7,1,,159,240.9,243.9,199.9,28,11,43
51,Jerry Jeudy,137,CLE,WR,25,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,4,2,,151,240.9,243.9,195.9,20,15,51
22,Joe Mixon,17,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,,,205,240.5,246.5,222.5,53,11,22
35,Mike Evans,9,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,,166,240.4,243.4,203.4,35,7,35
42,Courtland Sutton,74,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,,159,240.3,244.3,199.8,28,10,42
65,D.J. Moore,15,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1,,140,238.1,242.1,189.1,10,22,65
15,George Kittle,22,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,,159,236.6,239.6,197.6,70,1,15
79,Jordan Love,18,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,1,,3,234,233.9,247.9,244.9,,17,
28,Jonnu Smith,159,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,8,,,134,222.3,226.3,178.3,47,4,28
56,Tee Higgins,130,CIN,WR,25,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,10,,,149,222.1,226.1,185.6,18,19,56
34,David Montgomery,32,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,,,186,221.7,228.7,203.7,35,17,34
80,C.J. Stroud,58,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,0,,,220,220.4,242.4,232.4,,18,
66,Tyreek Hill,4,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,,,137,218.2,221.2,177.7,7,23,66
73,Jakobi Meyers,51,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.5,0,129,87,1027,11.8,4,0,0,4,1,,131,218,221,174.5,1,29,73
55,A.J. Brown,20,PHI,WR,27,13,13,0,0,0,0,0,0,0,,0,97,67,1079,16.1,7,0,0,7,,,150,216.9,219.9,183.4,19,17,55
81,Matthew Stafford,79,LAR,QB,36,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,,0,6,2,0,,,215,214.6,227.6,222.6,,19,
49,D'Andre Swift,73,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,6,1,,173,214.5,220.5,193.5,22,19,49
54,Jordan Addison,47,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,10,,,150,212.5,215.5,181,19,18,54
48,Jameson Williams,205,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,8,,,154,212.2,215.2,183.2,23,13,48
60,Nico Collins,23,HOU,WR,25,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,7,,,143,210.6,213.6,176.6,12,20,60
70,Jauan Jennings,267,SFO,WR,27,15,10,0,0,0,0,0,0,0,,0,113,77,975,12.66,6,1,0,6,,,134,210.5,213.5,172,4,27,70
67,Zay Flowers,101,BAL,WR,24,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,4,,,136,209.5,212.5,172.5,6,24,67
101,Puka Nacua,14,LAR,WR,23,11,11,0,0,0,0,0,11,46,4.18,1,106,79,990,12.53,3,0,0,4,,,128,206.6,209.6,167.1,,33,
53,Najee Harris,65,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,6,,,169,204.6,210.6,186.6,19,20,53
63,Tony Pollard,63,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.8,0,2,2,5,1,,160,200.7,208.7,180.2,10,22,63
89,Rachaad White,24,TAM,RB,25,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,,,149,199.6,208.6,174.1,,24,
72,DeVonta Smith,54,PHI,WR,26,13,13,0,0,0,0,0,1,1,1,0,89,68,833,12.25,8,0,0,8,,,131,199.4,202.4,165.4,2,28,72
69,Calvin Ridley,44,TEN,WR,30,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,5,,,135,199.2,203.2,167.2,5,25,69
64,Rico Dowdle,156,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,,,159,197.8,205.8,178.3,10,23,64
61,Jayden Reed,45,GNB,WR,24,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,7,,,142,197,204,169.5,12,21,61
68,Marvin Harrison Jr.,0,ARI,WR,22,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,8,,,135,196.5,200.5,165.5,5,26,68
59,Travis Kelce,26,KAN,TE,35,16,16,0,0,0,0,0,1,1,1,0,133,97,823,8.48,3,2,1,3,,,98,195.4,199.4,146.9,13,10,59
82,Bryce Young,88,CAR,QB,23,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,,0,5,2,6,,,195,195,212,204,,20,
100,Darnell Mooney,220,ATL,WR,27,16,16,0,1,0,0,0,0,0,,0,106,64,992,15.5,5,0,0,5,,,129,193.2,196.2,161.2,,31,
62,J.K. Dobbins,405,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,,,160,191.8,197.8,175.8,11,21,62
103,D.K. Metcalf,39,SEA,WR,27,15,12,0,0,0,0,0,0,0,,0,108,66,992,15.03,5,2,2,5,,,125,191.2,196.2,158.2,,34,
29,Mark Andrews,68,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,11,,,134,188.8,191.8,161.3,47,5,29
102,Xavier Worthy,0,KAN,WR,21,17,13,0,0,0,0,0,20,104,5.2,3,98,59,638,10.81,6,0,0,9,,,128,187.2,193.2,157.7,,32,
90,Zach Charbonnet,162,SEA,RB,23,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.1,1,0,0,9,,,145,186.9,192.9,165.9,,25,
110,Keenan Allen,27,CHI,WR,32,15,15,0,1,0,0,1,0,0,,0,121,70,744,10.63,7,1,0,7,,,114,184.4,188.4,150.4,,37,
111,Josh Downs,135,IND,WR,23,14,8,0,0,0,0,0,1,12,12,0,107,72,803,11.15,5,0,0,5,,,112,183.5,186.5,147.5,,38,
140,Wan'Dale Robinson,165,NYG,WR,23,17,7,0,0,0,0,0,3,18,6,0,140,93,699,7.52,3,0,0,3,,,90,182.7,185.7,136.2,,53,
114,Khalil Shakir,158,BUF,WR,24,15,9,0,0,0,0,0,2,4,2,0,100,76,821,10.8,4,1,0,4,,,107,182.5,185.5,144.5,,40,
92,Tyrone Tracy Jr.,0,NYG,RB,25,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,,,144,182.3,190.3,163.3,,26,
83,Tua Tagovailoa,66,MIA,QB,26,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,,0,7,2,0,,2,182,181.6,193.6,188.6,,21,
96,Kenneth Walker III,59,SEA,RB,24,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.5,1,1,0,8,,,135,181.2,187.2,158.2,,29,
45,Zach Ertz,301,WAS,TE,34,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,7,2,,111,177.4,180.4,144.4,26,8,45
84,Drake Maye,0,NWE,QB,22,13,12,225,338,2276,15,10,54,421,7.8,2,0,0,0,,0,9,6,2,,2,177,177.1,199.1,187.1,,22,
85,Kirk Cousins,89,ATL,QB,36,14,14,303,453,3508,18,16,23,0,0,0,0,0,0,,0,13,2,0,,,176,176.3,197.3,192.3,,23,
93,Rhamondre Stevenson,117,NWE,RB,26,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,2,,143,175.9,184.9,159.4,,27,
113,Cooper Kupp,120,LAR,WR,31,12,11,0,0,0,0,0,2,10,5,0,100,67,710,10.6,6,1,0,6,,,108,175,178,141.5,,39,
106,Quentin Johnston,204,LAC,WR,23,15,11,0,0,0,0,0,3,6,2,0,91,55,711,12.93,8,0,0,8,,,120,174.7,177.7,147.2,,36,
41,Sam LaPorta,11,DET,TE,23,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.1,7,0,0,7,,,115,174.6,177.6,144.6,29,6,41
99,Rashod Bateman,224,BAL,WR,25,17,14,0,0,0,0,0,0,0,,0,72,45,756,16.8,9,0,0,9,,,130,174.6,177.6,152.1,,30,
86,Russell Wilson,78,PIT,QB,36,11,11,214,336,2482,16,5,43,155,3.6,2,0,0,0,,0,5,4,2,,,173,172.8,187.8,177.8,,24,
