Rk,Previous Rank,Age,FantPos,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,PPR,PosRank
126,64,25,0,14,6,0,0,0,0,0,104,565,5.43,3,43,37,225,6.08,0,0,0,3,134,37
127,62,27,1,16,14,0,0,0,0,0,0,0,,0,111,69,808,11.71,3,1,1,3,165.8,46
128,118,26,1,10,7,171,262,1672,8,8,28,92,3.29,1,0,0,0,,0,2,2,1,96.1,36
129,85,28,1,10,9,203,306,2013,9,10,19,58,3.05,0,0,0,0,,0,6,4,0,96.3,35
130,240,29,1,8,5,146,228,1530,9,9,25,106,4.24,1,0,0,0,,0,5,1,1,95.8,37
131,108,24,0,17,0,0,0,0,0,0,137,644,4.7,3,13,13,88,6.77,0,0,0,3,106.2,38
132,105,26,1,9,7,154,243,1612,8,4,21,30,1.43,1,0,0,0,,0,2,2,1,93.5,38
133,193,30,1,17,17,0,0,0,0,0,0,0,,0,64,31,505,16.29,7,0,0,7,123.5,47
134,102,34,1,10,10,0,0,0,0,0,0,0,,0,62,48,615,12.81,5,0,0,5,139.5,49
135,103,26,1,15,15,0,0,0,0,0,4,12,3,0,83,58,744,12.83,2,0,0,2,149.6,48
136,12,25,0,15,15,0,0,0,0,0,150,558,3.72,2,52,39,254,6.51,0,1,1,2,130.2,39
137,49,32,1,16,8,0,0,0,0,0,0,0,,0,80,56,610,10.89,5,1,0,5,147,50
138,0,22,1,17,2,0,0,0,0,0,13,42,3.23,0,52,39,503,12.9,6,1,0,6,129.5,52
139,0,22,1,17,12,0,0,0,0,0,3,15,5,0,101,54,734,13.59,3,2,1,3,144.9,51
140,165,23,1,17,7,0,0,0,0,0,3,18,6,0,140,93,699,7.52,3,0,0,3,182.7,53
141,111,25,1,14,10,0,0,0,0,0,9,43,4.78,0,81,51,667,13.08,3,0,0,3,140,54
142,250,29,1,12,10,0,1,0,0,0,0,0,,0,60,37,530,14.32,6,0,0,6,126,55
143,104,28,1,7,7,0,0,0,0,0,1,2,2,0,62,50,576,11.52,5,1,0,5,137.8,56
144,114,24,1,13,12,0,0,0,0,0,0,0,,0,72,46,601,13.07,4,0,0,4,132.1,57
