Age,Previous Rank,FantPos,Games Played,Games Started,Cmp,Att,Yds,TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Total TD,PPR,Rank,Player
24,185,1,16,13,0,0,0,0,0,0,0,0,69,37,824,7,7,161.4,106,Alec Pierce
25,71,0,14,13,0,0,0,0,0,187,799,8,25,20,159,0,8,159.8,107,Brian Robinson Jr.
24,100,0,17,11,0,0,0,0,0,139,513,4,70,52,346,0,4,157.9,108,Javonte Williams
29,122,0,13,8,0,0,0,0,0,200,728,7,32,23,176,0,7,155.4,109,Kareem Hunt
28,21,1,15,15,0,0,0,0,0,42,136,1,81,51,670,3,4,153.6,110,Deebo Samuel
25,253,1,17,15,0,0,0,0,0,0,0,0,79,49,610,7,7,152,111,Jalen Tolbert
33,80,2,10,10,189,279,2145,15,5,17,71,1,0,0,0,0,1,150.9,112,Derek Carr
26,103,1,15,15,0,0,0,0,0,4,12,0,83,58,744,2,2,149.6,113,Jaylen Waddle
28,30,3,11,11,0,0,0,0,0,0,0,0,97,64,505,5,5,148.5,114,David Njoku
24,200,1,17,7,0,0,0,0,0,3,16,0,87,66,621,3,3,147.7,115,Demario Douglas
32,49,1,16,8,0,0,0,0,0,0,0,0,80,56,610,5,5,147,116,DeAndre Hopkins
30,151,3,16,16,0,0,0,0,0,0,0,0,97,66,674,2,2,145.4,117,Hunter Henry
25,76,2,10,10,172,284,2045,11,7,26,119,3,0,0,-5,0,3,145.2,118,Trevor Lawrence
22,,1,17,12,0,0,0,0,0,3,15,0,101,54,734,3,3,144.9,119,Rome Odunze
29,258,3,17,3,0,0,0,0,0,0,0,0,83,65,665,2,2,141.5,120,Mike Gesicki
25,171,3,14,14,0,0,0,0,0,1,-4,0,87,59,600,4,4,140.6,121,Cade Otton
28,352,1,17,13,0,0,0,0,0,10,79,0,87,62,686,1,1,140.5,122,Ray-Ray McCloud
25,111,1,14,10,0,0,0,0,0,9,43,0,81,51,667,3,3,140,123,Tank Dell
34,102,1,10,10,0,0,0,0,0,0,0,0,62,48,615,5,5,139.5,124,Adam Thielen
28,104,1,7,7,0,0,0,0,0,1,2,0,62,50,576,5,5,137.8,125,Chris Godwin
26,123,0,14,7,0,0,0,0,0,132,420,4,48,36,294,1,5,137.4,126,Alexander Mattison
27,203,1,17,9,0,0,0,0,0,0,0,0,60,32,497,9,9,135.7,127,Nick Westbrook-Ikhine
23,,1,13,12,0,0,0,0,0,4,43,0,58,37,461,8,8,135.4,128,Jalen McMillan
27,201,2,10,10,216,341,2070,8,7,67,265,2,0,0,0,0,2,135.3,129,Daniel Jones
25,64,0,14,6,0,0,0,0,0,104,565,3,43,37,225,0,3,134,130,Jerome Ford
29,99,0,12,6,0,0,0,0,0,77,367,4,41,35,366,0,4,132.3,131,Austin Ekeler
24,114,1,13,12,0,0,0,0,0,0,0,0,72,46,601,4,4,132.1,132,Romeo Doubs
24,142,3,17,15,0,0,0,0,0,0,0,0,74,47,602,4,4,131.2,133,Kyle Pitts
30,393,2,12,7,181,296,2121,13,12,25,83,1,0,0,0,0,1,131.1,134,Jameis Winston
25,12,0,15,15,0,0,0,0,0,150,558,2,52,39,254,0,2,130.2,135,Travis Etienne
22,,1,17,2,0,0,0,0,0,13,42,0,52,39,503,6,6,129.5,136,Marvin Mims
23,212,1,17,14,0,0,0,0,0,9,44,1,81,47,539,3,4,129.3,137,Tre Tucker
23,327,0,16,1,0,0,0,0,0,168,766,7,12,7,54,0,7,129,138,Tank Bigsby
27,144,0,15,0,0,0,0,0,0,47,228,1,51,42,383,3,4,127.1,139,Justice Hill
29,250,1,12,10,0,1,0,0,0,0,0,0,60,37,530,6,6,126,140,Allen Lazard
31,326,0,16,3,0,0,0,0,0,66,311,2,47,40,261,3,5,125.2,141,Ameer Abdullah
23,,1,16,13,0,0,0,0,0,6,24,0,84,49,497,4,4,125.1,142,Xavier Legette
24,154,1,16,13,0,0,0,0,0,1,7,0,71,47,548,4,4,124.5,143,Michael Wilson
26,98,0,15,0,0,0,0,0,0,120,511,1,47,38,310,0,1,124.1,144,Jaylen Warren
24,169,3,16,9,0,0,0,0,0,0,0,0,58,42,477,6,6,123.7,145,Isaiah Likely
30,193,1,17,17,0,0,0,0,0,0,0,0,64,31,505,7,7,123.5,146,Demarcus Robinson
28,191,3,17,5,0,0,0,0,0,0,0,0,66,50,548,3,3,122.8,147,Juwan Johnson
30,42,1,14,10,0,0,0,0,0,0,0,0,85,44,547,4,4,122.7,148,Amari Cooper
22,481,1,15,13,0,0,0,0,0,0,0,0,68,43,589,3,3,121.9,149,Kayshon Boutte
31,29,1,8,8,1,1,13,0,0,3,8,1,64,47,496,3,4,121.9,150,Stefon Diggs
29,187,3,16,15,0,0,0,0,0,1,0,0,72,51,449,4,4,121.9,151,Tyler Conklin
32,107,1,17,14,0,0,0,0,0,0,0,0,74,49,600,2,2,121,152,Tyler Lockett
24,163,1,17,13,0,0,0,0,0,1,1,0,102,61,538,1,1,120.9,153,Elijah Moore
25,46,3,17,16,0,0,0,0,0,0,0,0,55,47,474,4,4,120.4,154,Cole Kmet
25,125,2,12,12,190,301,2091,13,12,45,183,0,0,0,0,0,0,119.9,155,Will Levis
25,259,1,17,8,0,0,0,0,0,0,0,0,61,36,479,6,6,119.9,156,Andrei Iosivas
25,82,2,10,6,106,161,1106,5,1,62,289,5,0,0,0,0,5,119.1,157,Justin Fields
25,257,1,17,8,0,0,0,0,0,0,0,0,58,36,548,4,5,118.8,158,Calvin Austin III
28,67,3,17,13,0,0,0,0,0,0,0,0,85,53,532,2,2,118.2,159,Dalton Schultz
31,8,2,8,8,185,286,1978,11,8,13,54,1,0,0,0,0,1,116.5,160,Dak Prescott
25,,0,17,0,0,0,0,0,0,113,442,3,19,17,189,3,6,116.1,161,Ray Davis
25,232,0,12,6,0,0,0,0,0,153,789,3,14,11,91,0,3,115,162,Jordan Mason
23,126,0,12,1,0,0,0,0,0,84,312,4,35,30,224,1,5,113.6,163,Tyjae Spears
25,198,3,17,11,0,0,0,0,0,1,17,0,70,52,479,2,2,113.6,164,Chigoziem Okonkwo
25,230,3,17,10,0,0,0,0,0,1,-4,0,49,40,437,5,5,113.3,165,Noah Gray
27,285,1,17,6,0,0,0,0,0,1,8,0,64,45,506,3,3,112.4,166,Olamide Zaccheaus
21,,1,13,12,0,0,0,0,0,1,9,0,57,29,556,4,4,111.5,167,Keon Coleman
23,145,1,17,5,0,0,0,0,0,0,0,0,76,39,415,5,5,110.5,168,Dontayvion Wicks
28,319,3,15,8,0,0,0,0,0,0,0,0,64,50,481,2,2,110.1,169,Will Dissly
27,128,1,16,13,0,0,0,0,0,2,17,0,71,39,573,2,2,110,170,Darius Slayton
31,473,2,12,8,187,308,1844,12,5,26,18,0,0,0,0,0,0,109.6,171,Cooper Rush
30,322,3,17,8,0,0,0,0,0,0,0,0,59,45,476,3,3,108.6,172,Austin Hooper
25,174,1,15,7,0,0,0,0,0,0,0,0,65,39,584,1,1,107.4,173,Josh Palmer
27,,1,13,7,0,0,0,0,0,0,0,0,55,41,475,3,3,106.5,174,Devaughn Vele
24,108,0,17,0,0,0,0,0,0,137,644,3,13,13,88,0,3,106.2,175,Tyler Allgeier
25,166,1,15,15,0,0,0,0,0,4,23,0,53,29,620,2,2,105.3,176,Christian Watson
25,48,3,14,14,0,0,0,0,0,0,0,0,86,59,494,0,0,104.4,177,Jake Ferguson
28,221,1,17,2,0,0,0,0,0,16,92,0,52,31,420,2,4,104.2,178,KaVontae Turpin
27,236,3,14,9,0,0,0,0,0,0,0,0,64,48,500,1,1,104,179,Noah Fant
29,152,3,10,10,0,0,0,0,0,0,0,0,52,42,496,2,2,103.6,180,Dallas Goedert
26,149,0,17,3,0,0,0,0,0,120,538,1,29,23,206,0,1,103.4,181,Antonio Gibson
27,309,3,17,17,0,0,0,0,0,0,0,0,43,32,413,5,5,103.3,182,Foster Moreau
25,471,1,17,7,0,0,0,0,0,3,-4,0,42,28,414,6,6,103,183,Jalen Nailor
34,41,3,8,8,2,4,21,0,1,39,278,6,31,23,187,0,6,102.3,184,Taysom Hill
25,153,3,13,9,0,0,0,0,0,0,0,0,75,44,448,2,2,100.8,185,Dalton Kincaid
39,127,2,8,6,162,248,1761,12,7,9,26,0,0,0,0,0,0,99,186,Joe Flacco
25,160,1,17,5,0,1,0,0,0,2,7,0,62,42,562,0,0,98.9,187,Tutu Atwell
31,303,1,17,13,0,0,0,0,0,0,0,0,50,31,378,5,5,98.8,188,Mack Hollins
24,157,0,16,5,0,0,0,0,0,113,496,1,27,24,76,2,3,97.2,189,Jaleel McLaughlin
22,325,1,17,7,0,0,0,0,0,0,0,0,51,32,390,3,4,97,190,Parker Washington
27,96,0,15,5,0,0,0,0,0,113,437,4,24,21,119,0,4,96.6,191,Devin Singletary
28,85,2,10,9,203,306,2013,9,10,19,58,0,0,0,0,0,0,96.3,192,Gardner Minshew II
26,118,2,10,7,171,262,1672,8,8,28,92,1,0,0,0,0,1,96.1,193,Mac Jones
25,402,0,17,0,0,0,0,0,0,103,502,4,14,11,48,1,5,96,194,Emanuel Wilson
29,240,2,8,5,146,228,1530,9,9,25,106,1,0,0,0,0,1,95.8,195,Mason Rudolph
24,,0,16,3,0,0,0,0,0,84,420,4,16,15,152,0,4,94.2,196,Isaac Guerendo
26,105,2,9,7,154,243,1612,8,4,21,30,1,0,0,0,0,1,93.5,197,Aidan O'Connell
24,,1,11,4,0,1,0,0,0,3,45,0,46,31,400,3,3,93.5,198,Ricky Pearsall
25,255,0,17,2,0,0,0,0,0,104,444,2,18,14,68,3,5,93.2,199,Cam Akers
23,,1,11,4,1,1,19,0,0,0,0,0,46,32,478,2,2,92.6,200,Jalen Coker
31,,1,16,9,0,0,0,0,0,0,0,0,44,33,394,3,3,92.4,201,Tim Patrick
27,305,0,17,1,0,0,0,0,0,41,213,1,25,18,284,3,4,91.7,202,Ty Johnson
24,412,3,17,10,0,0,0,0,0,0,0,0,53,40,411,2,2,91.1,203,Brenton Strange
32,379,3,17,6,0,0,0,0,0,0,0,0,58,40,390,2,2,91,204,Jordan Akins
26,235,1,17,4,0,0,0,0,0,5,31,0,50,37,342,3,3,90.3,205,Greg Dortch
30,36,3,9,9,0,0,0,0,0,0,0,0,64,47,365,1,1,89.5,206,Evan Engram
28,124,1,12,8,0,0,0,0,0,2,6,0,67,33,375,3,3,89.1,207,Diontae Johnson
27,28,3,10,9,0,0,0,0,0,0,0,0,62,41,455,0,0,86.5,208,T.J. Hockenson
28,173,1,11,9,0,0,0,0,0,0,0,0,56,35,453,1,1,86.3,209,Noah Brown
20,,0,17,2,0,0,0,0,0,92,334,2,27,19,148,1,3,85.2,210,Braelon Allen
29,365,1,17,5,0,0,0,0,0,1,0,0,57,32,351,3,3,85.1,211,David Moore
30,261,1,14,8,0,0,0,0,0,1,4,0,44,19,411,4,4,84.5,212,Marquez Valdes-Scantling
27,95,0,8,6,0,0,0,0,0,74,242,2,27,23,187,1,3,81.9,213,Zack Moss
29,170,0,17,0,0,0,0,0,0,20,92,1,35,28,322,1,2,81.4,214,Samaje Perine
24,324,1,11,6,0,0,0,0,0,1,-5,0,49,29,339,3,3,80.4,215,Cedric Tillman
31,411,1,14,5,0,0,0,0,0,8,69,0,51,32,334,1,1,80.3,216,Sterling Shepard
28,278,2,8,5,107,181,1071,6,5,18,133,2,0,0,0,0,2,80.1,217,Drew Lock
26,116,1,6,5,0,0,0,0,0,6,29,0,41,20,349,3,4,79.8,218,Rashid Shaheed
22,,3,17,6,0,0,0,0,0,0,0,0,38,30,245,4,4,78.5,219,AJ Barner
30,150,1,16,8,0,1,0,0,0,1,3,0,57,39,390,0,0,78.3,220,Tyler Boyd
23,176,0,14,0,0,0,0,0,0,55,150,6,20,16,104,0,6,77.4,221,Roschon Johnson
27,194,0,11,2,0,0,0,0,0,55,205,2,30,24,148,1,3,77.3,222,Miles Sanders
29,140,2,7,7,137,216,1148,5,3,31,148,1,0,0,0,0,1,76.7,223,Deshaun Watson
