Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
24,9,0,0,0,0,0,0,35,173,4.94,2,1,1,12,12,0,0,0,2,31,31.5,260
27,17,14,0,0,0,0,0,0,0,,0,22,13,188,14.46,2,0,0,2,31,43.8,248
27,12,6,0,0,0,0,0,5,33,6.6,1,29,16,158,9.88,1,1,0,2,31,47.1,612
24,15,3,0,0,0,0,0,2,12,6,0,28,22,293,13.32,0,0,0,0,31,52.5,0
25,17,10,0,0,0,0,0,0,0,,0,15,14,115,8.21,3,0,0,3,30,43.5,480
25,17,0,0,0,0,0,0,34,89,2.62,2,3,3,49,16.33,1,1,1,3,30,32.8,0
26,17,6,0,0,0,0,0,0,0,,0,36,27,241,8.93,1,0,0,1,30,57.1,342
29,15,4,1,1,21,1,0,0,0,,0,27,20,211,10.55,1,1,1,1,30,49.9,222
24,17,6,0,0,0,0,0,0,0,,0,24,20,172,8.6,2,0,0,2,29,49.2,328
24,2,1,30,45,323,4,0,5,-1,-0.2,0,0,0,0,,0,0,0,0,29,28.8,0
23,14,3,0,0,0,0,0,5,25,5,1,36,26,223,8.58,0,1,1,1,29,54.8,0
23,10,0,0,0,0,0,0,43,155,3.6,0,9,5,62,12.4,1,1,0,1,28,32.7,0
29,14,1,0,0,0,0,0,48,164,3.42,1,11,9,57,6.33,0,0,0,1,28,37.1,231
24,17,1,0,0,0,0,0,58,207,3.57,0,8,7,58,8.29,0,0,0,0,27,33.5,0
24,15,2,0,0,0,0,0,12,39,3.25,0,17,13,112,8.62,2,3,0,2,27,40.1,333
28,11,3,0,0,0,0,0,71,232,3.27,0,8,6,54,9,0,2,1,0,27,32.6,147
26,13,1,0,0,0,0,0,39,183,4.69,1,11,3,25,8.33,0,0,0,1,27,29.8,344
30,17,3,0,0,0,0,0,0,0,,0,27,19,142,7.47,2,0,0,2,26,45.2,323
33,13,1,0,0,0,0,0,32,135,4.22,0,14,12,80,6.67,1,1,1,1,26,37.5,282
23,17,9,0,0,0,0,0,0,0,,0,25,19,200,10.53,1,0,0,1,26,45,445
25,3,1,0,0,0,0,0,35,131,3.74,1,11,11,57,5.18,0,0,0,1,25,35.8,263
29,17,2,0,0,0,0,0,0,0,,0,12,7,131,18.71,1,0,0,2,25,32.1,321
24,11,3,0,0,0,0,0,0,0,,0,20,12,128,10.67,2,0,0,2,25,36.8,589
26,5,1,25,42,291,2,1,9,15,1.67,1,0,0,0,,0,1,0,1,25,25.1,115
29,9,2,0,0,0,0,0,0,0,,0,24,13,194,14.92,1,0,0,1,25,38.4,136
25,17,0,0,0,0,0,0,0,0,,0,12,11,193,17.55,1,1,0,1,25,36.3,435
24,14,1,0,0,0,0,0,0,0,,0,30,12,177,14.75,1,0,0,1,24,35.7,436
24,16,6,0,0,0,0,0,0,0,,0,14,11,115,10.45,2,1,0,2,24,34.5,438
28,14,1,0,0,0,0,0,32,143,4.47,0,19,12,96,8,0,0,0,0,24,35.9,304
22,6,2,0,0,0,0,0,39,148,3.79,1,8,5,33,6.6,0,0,0,1,24,29.1,269
21,15,1,0,0,0,0,0,68,249,3.66,0,6,3,8,2.67,0,1,1,0,24,26.7,0
24,17,6,0,0,0,0,0,1,13,13,0,33,19,216,11.37,0,0,0,0,23,41.9,155
23,15,3,0,0,0,0,0,0,0,,0,22,12,172,14.33,1,1,0,1,23,35.2,202
25,8,5,0,0,0,0,0,65,183,2.82,1,8,6,30,5,0,2,2,1,23,29.3,199
26,17,0,0,0,0,0,0,56,182,3.25,0,6,6,42,7,0,0,0,0,22,28.4,146
24,13,1,0,0,0,0,0,0,0,,0,13,10,97,9.7,2,0,0,2,22,31.7,341
26,14,1,0,0,0,0,0,36,130,3.61,1,11,10,25,2.5,0,1,0,1,22,31.5,133
25,6,1,52,85,458,2,2,9,36,4,0,0,0,0,,0,3,2,0,22,21.9,86
26,17,8,0,0,0,0,0,0,0,,0,16,13,100,7.69,2,0,0,2,22,35,370
31,17,13,0,0,0,0,0,0,0,,0,22,12,147,12.25,1,0,0,1,21,32.7,256
26,12,0,0,0,0,0,0,5,62,12.4,1,14,12,90,7.5,0,0,0,1,21,33.2,398
24,5,2,0,0,0,0,0,39,183,4.69,0,7,6,29,4.83,0,0,0,0,21,27.2,0
22,15,7,0,0,0,0,0,1,0,0,0,33,12,87,7.25,2,0,0,2,21,32.7,0
26,14,0,0,0,0,0,0,26,108,4.15,0,22,14,104,7.43,0,0,0,0,21,35.2,247
33,1,1,27,41,334,2,1,2,5,2.5,0,0,0,0,,0,0,0,0,20,19.9,183
30,11,0,0,0,0,0,0,1,1,1,0,23,19,154,8.11,1,1,1,1,20,38.5,237
29,8,0,0,0,0,0,0,0,0,,0,28,12,120,10,1,0,0,1,20,32,0
35,2,0,17,22,119,3,0,3,13,4.33,0,0,0,0,,0,1,0,0,20,20.1,139
32,17,2,0,0,0,0,0,7,8,1.14,1,10,10,65,6.5,1,0,0,2,19,29.3,453
28,15,0,0,0,0,0,0,20,69,3.45,0,12,10,59,5.9,1,0,0,1,19,28.8,562
31,3,3,0,0,0,0,0,0,0,,0,12,8,66,8.25,2,0,0,2,19,26.6,188
25,13,3,0,0,0,0,0,1,2,2,0,11,9,131,14.56,1,0,0,1,19,28.3,364
24,17,0,0,0,0,0,0,31,172,5.55,0,4,3,22,7.33,0,0,0,0,19,22.4,584
24,1,0,22,29,241,1,0,10,16,1.6,1,0,0,0,,0,1,1,1,19,19.2,0
26,15,2,0,0,0,0,0,0,0,,0,19,16,208,13,0,1,1,0,19,34.8,330
24,15,9,0,0,0,0,0,0,0,,0,22,15,133,8.87,1,0,0,1,19,34.3,0
26,17,0,0,0,0,0,0,9,49,5.44,0,3,3,11,3.67,1,1,0,2,18,21,483
26,17,6,0,0,0,0,0,0,0,,0,31,14,182,13,0,0,0,0,18,32.2,229
23,7,1,0,0,0,0,0,0,0,,0,15,9,118,13.11,1,0,0,1,18,26.8,0
28,17,0,0,0,0,0,0,31,139,4.48,0,5,3,40,13.33,0,1,0,0,18,20.9,310
32,15,4,0,0,0,0,0,0,0,,0,30,20,203,10.15,0,3,1,0,18,38.3,218
26,17,3,0,0,0,0,0,0,0,,0,17,13,107,8.23,1,0,0,1,17,29.7,243
31,6,1,0,0,0,0,0,0,0,,0,13,9,72,8,2,2,1,2,17,26.2,336
27,15,2,0,0,0,0,0,5,45,9,0,8,2,67,33.5,1,0,0,1,17,19.2,0
23,17,4,0,0,0,0,0,0,0,,0,24,18,168,9.33,0,0,0,0,17,34.8,0
26,17,6,0,0,0,0,0,0,0,,0,14,9,109,12.11,1,0,0,1,17,25.9,287
28,17,15,0,0,0,0,0,1,-4,-4,0,22,20,109,5.45,1,1,0,1,17,36.5,284
22,17,3,0,0,0,0,0,56,183,3.27,0,11,7,26,3.71,0,3,2,0,17,23.9,0
24,9,6,0,0,0,0,0,0,0,,0,22,20,158,7.9,0,0,0,0,16,35.8,0
24,8,2,0,0,0,0,0,1,9,9,0,22,11,151,13.73,0,1,0,0,16,27,0
23,11,8,0,0,0,0,0,0,0,,0,32,21,156,7.43,0,0,0,0,16,36.6,228
30,17,3,0,0,0,0,0,0,0,,0,14,11,97,8.82,1,1,0,1,16,26.7,518
25,7,2,61,118,440,0,6,21,122,5.81,0,0,0,0,,0,3,1,0,16,15.8,331
28,15,10,0,0,0,0,0,10,17,1.7,1,12,11,96,8.73,0,2,1,1,15,26.3,0
26,13,2,0,0,0,0,0,0,0,,0,23,19,152,8,0,0,0,0,15,34.2,357
24,16,4,0,0,0,0,0,12,38,3.17,0,16,12,111,9.25,0,0,0,0,15,26.9,410
25,17,0,0,0,0,0,0,8,54,6.75,0,17,8,91,11.38,0,0,0,0,15,22.5,276
23,17,6,0,0,0,0,0,2,5,2.5,0,42,17,167,9.82,0,1,1,0,15,32.2,233
30,9,0,19,26,179,2,0,17,1,0.06,0,0,0,0,,0,1,0,0,15,15.3,217
30,3,0,27,50,276,1,1,3,9,3,0,0,0,0,,0,0,0,0,14,13.9,396
25,11,0,0,0,0,0,0,20,70,3.5,0,18,12,71,5.92,0,0,0,0,14,26.1,590
30,17,6,0,0,0,0,0,0,0,,0,5,3,22,7.33,1,0,0,2,14,17.2,400
28,17,1,0,0,0,0,0,0,0,,0,9,8,83,10.38,1,0,0,1,14,22.3,368
24,17,8,0,0,0,0,0,0,0,,0,17,14,125,8.93,0,0,0,0,13,26.5,292
26,3,2,31,44,257,0,0,8,32,4,0,0,0,0,,0,0,0,0,13,13.5,132
25,8,1,18,39,226,1,1,11,22,2,0,0,0,0,,0,0,0,0,13,13.2,0
24,4,1,25,41,266,0,1,11,41,3.73,0,0,0,0,,0,0,0,0,13,12.7,0
25,17,0,0,0,0,0,0,22,99,4.5,0,6,5,34,6.8,0,0,0,0,13,18.3,366
25,3,0,0,0,0,0,0,0,0,,0,1,1,69,69,1,0,0,1,13,13.9,0
24,16,3,0,0,0,0,0,0,0,,0,26,12,117,9.75,0,0,0,0,12,23.7,373
23,10,2,0,0,0,0,0,0,0,,0,11,9,124,13.78,0,0,0,0,12,21.4,440
27,1,0,0,0,0,0,0,4,55,13.75,1,0,0,0,,0,0,0,1,12,11.5,307
27,8,4,0,0,0,0,0,0,0,,0,18,7,57,8.14,1,0,0,1,12,18.7,167
22,16,1,0,0,0,0,0,30,82,2.73,0,4,4,35,8.75,0,0,0,0,12,15.7,0
23,14,1,0,0,0,0,0,0,0,,0,14,4,107,26.75,0,0,0,0,11,14.7,0
24,17,0,0,0,0,0,0,22,102,4.64,0,3,2,11,5.5,0,0,0,0,11,13.3,539
27,8,2,0,0,0,0,0,0,0,,0,16,6,106,17.67,0,0,0,0,11,16.6,430
27,1,0,0,0,0,0,0,0,0,,0,2,1,49,49,1,0,0,1,11,11.9,581
24,17,9,0,0,0,0,0,0,0,,0,28,18,105,5.83,0,0,0,0,11,28.5,367
23,7,1,0,0,0,0,0,2,6,3,0,9,7,41,5.86,1,0,0,1,11,17.7,0
24,11,2,0,0,0,0,0,0,0,,0,9,6,51,8.5,1,0,0,1,11,17.1,618
26,9,1,0,0,0,0,0,0,0,,0,8,5,47,9.4,1,0,0,1,11,15.7,479
25,17,5,0,0,0,0,0,0,0,,0,8,6,40,6.67,1,0,0,1,10,16,351
24,16,11,0,0,0,0,0,0,0,,0,19,12,100,8.33,0,1,0,0,10,22,468
26,4,0,20,36,212,0,0,3,11,3.67,0,0,0,0,,0,0,0,0,10,9.6,347
25,16,3,0,0,0,0,0,0,0,,0,8,5,36,7.2,1,0,0,1,10,14.6,417
24,10,1,0,0,0,0,0,0,0,,0,9,6,95,15.83,0,0,0,0,10,15.5,0
32,12,5,0,0,0,0,0,0,0,,0,10,6,40,6.67,1,0,0,1,10,16,353
24,11,1,0,0,0,0,0,0,0,,0,26,14,99,7.07,0,0,0,0,10,23.9,0
23,16,4,0,0,0,0,0,0,0,,0,15,5,38,7.6,1,0,0,1,10,14.8,0
27,2,1,0,0,0,0,0,0,0,,0,15,9,91,10.11,0,0,0,0,9,18.1,141
26,13,3,0,0,0,0,0,0,0,,0,12,9,86,9.56,0,0,0,0,9,17.6,299
27,5,0,0,0,0,0,0,0,0,,0,8,6,30,5,1,0,0,1,9,15,404
28,7,0,0,0,0,0,0,0,0,,0,10,4,31,7.75,1,0,0,1,9,13.1,143
24,5,0,0,0,0,0,0,0,0,,0,6,5,88,17.6,0,0,0,0,9,13.8,0
31,17,3,0,0,0,0,0,2,10,5,1,6,5,35,7,0,1,1,1,9,13.5,0
32,17,11,0,0,0,0,0,0,0,,0,4,3,30,10,1,0,0,1,9,12,492
22,17,2,0,0,0,0,0,0,0,,0,5,5,28,5.6,1,0,0,1,9,13.8,0
25,17,0,0,0,0,0,0,0,0,,0,14,9,88,9.78,0,0,0,0,9,17.8,0
23,7,0,0,0,0,0,0,17,70,4.12,0,5,3,18,6,0,0,0,0,9,11.8,424
25,16,1,0,0,0,0,0,15,80,5.33,0,0,0,0,,0,2,0,0,8,8,394
32,15,2,0,0,0,0,0,0,0,,0,12,6,76,12.67,0,0,0,0,8,13.6,428
27,13,1,0,0,0,0,0,4,3,0.75,0,16,11,79,7.18,0,1,0,0,8,19.2,465
25,11,1,0,0,0,0,0,0,0,,0,14,10,102,10.2,0,1,1,0,8,18.2,0
23,17,0,0,0,0,0,0,1,5,5,0,10,6,39,6.5,1,4,1,1,8,14.4,244
29,11,2,0,0,0,0,0,0,0,,0,11,8,84,10.5,0,0,0,0,8,16.4,227
25,8,2,0,0,0,0,0,3,-3,-1,0,12,7,100,14.29,0,1,1,0,8,14.7,329
27,3,1,21,33,187,0,0,1,4,4,0,0,0,0,,0,2,0,0,8,7.9,0
23,9,0,0,0,0,0,0,0,0,,0,3,1,21,21,1,0,0,1,8,9.1,0
