Column1,Column2,,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
426,Blake Bell,433,KAN,TE,32,17,3,0,0,0,0,0,0,0,,0,9,5,26,5.2,1,1,1,1,,,7,11.6,12.6,9.1,,84,
427,Gary Brightwell,314,NYG,RB,24,7,0,0,0,0,0,0,9,19,2.11,0,7,5,47,9.4,0,0,0,0,,,7,11.6,11.6,9.1,,113,
428,Chris Conley,463,SFO,WR,31,8,0,0,0,0,0,0,0,0,,0,6,3,69,23,0,0,0,0,,,7,9.9,9.9,8.4,,170,
429,Josiah Deguara,406,GNB,TE,26,15,4,0,0,0,0,0,0,0,,0,8,8,65,8.13,0,0,0,0,,,7,14.5,14.5,10.5,,85,
430,Simi Fehoko,506,LAC,WR,26,6,0,0,0,0,0,0,0,0,,0,2,1,9,9,1,0,0,1,,,7,7.9,7.9,7.4,,171,
431,Eric Gray,0,NYG,RB,24,13,0,0,0,0,0,0,17,48,2.82,0,7,6,22,3.67,0,3,0,0,,,7,13,13,10,,112,
432,Tyler Johnson,598,LAR,WR,25,1,0,0,0,0,0,0,0,0,,0,3,2,8,4,1,0,0,1,,,7,8.8,8.8,7.8,,172,
433,Velus Jones Jr.,307,CHI,WR,26,14,0,0,0,0,0,0,8,51,6.38,0,7,4,20,5,0,0,0,0,,,7,11.1,11.1,9.1,,168,
434,Clayton Tune,0,ARI,QB,24,7,1,12,21,62,0,2,8,30,3.75,1,0,0,0,,0,2,1,1,1,,7,7.5,10.5,9.5,,65,
435,Tylan Wallace,497,BAL,WR,24,11,0,0,0,0,0,0,0,0,,0,2,1,11,11,0,0,0,1,,,7,8.1,8.1,7.6,,169,
