Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
24,15,9,0,0,0,0,0,1,3,3,0,45,27,216,8,0,0,0,0,22,48.9,111
35,16,11,0,0,0,0,0,0,0,,0,19,15,156,10.4,1,0,0,1,22,36.6,454
26,8,2,0,0,0,0,0,0,0,,0,31,16,218,13.63,0,0,0,0,22,37.8,260
24,16,6,0,0,0,0,0,0,0,,0,22,15,91,6.07,2,0,0,2,21,36.1,509
24,16,0,0,0,0,0,0,0,0,,0,10,9,149,16.56,1,0,0,1,21,29.9,0
26,16,7,0,0,0,0,0,7,17,2.43,0,26,17,149,8.76,1,1,1,1,21,37.6,0
34,4,1,35,65,372,4,4,8,2,0.25,0,0,0,0,,0,2,1,0,21,21.1,611
25,8,1,0,0,0,0,0,1,-5,-5,0,12,9,170,18.89,1,1,1,1,21,29.5,0
22,7,3,0,0,0,0,0,4,34,8.5,0,24,18,127,7.06,1,3,1,1,20,38.1,0
29,16,4,0,0,0,0,0,1,27,27,0,19,13,108,8.31,1,0,0,1,20,32.5,378
26,14,4,0,0,0,0,0,4,73,18.25,1,11,8,111,13.88,0,3,2,1,20,28.4,546
28,16,1,0,0,0,0,0,0,0,,0,26,19,195,10.26,0,0,0,0,20,38.5,318
24,16,1,0,0,0,0,0,2,-1,-0.5,0,10,6,165,27.5,1,1,1,1,20,26.4,327
23,16,3,0,0,0,0,0,0,0,,0,30,16,136,8.5,1,0,0,1,20,35.6,239
27,11,8,0,0,0,0,0,0,0,,0,19,13,131,10.08,1,0,0,1,19,32.1,291
26,16,2,0,0,0,0,0,32,103,3.22,0,17,13,90,6.92,0,0,0,0,19,32.3,233
25,9,0,0,0,0,0,0,23,72,3.13,1,12,10,76,7.6,0,1,1,1,19,28.8,490
35,4,1,0,0,0,0,0,0,0,,0,19,10,123,12.3,1,0,0,1,18,28.3,214
